Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
42	-103.3377	42.574165	-24.94095	-149.98347	-15.285314	55.26474	37.792683	-142.45856	449.1111	899.3	167999	25.374903	27.42047	57.223656	-123.37899	-25.9708	4.267673	2545.8189742565155
43	-84.16956	75.72194	69.40209	-180.55766	-81.52568	5.4651966	-73.96678	-91.201065	616.6667	217.0	171999	24.460047	27.657831	52.699306	-126.36067	-25.066872	4.415004	2615.8116359710693
44	-72.28208	24.30446	-26.967583	-108.67685	-97.81032	8.786193	-79.11094	-113.17098	326.76923	251.1	175999	25.007887	27.914953	62.10385	-123.00481	-25.753284	5.1886377	2685.949142217636
45	-79.09554	50.50569	72.16134	-116.710976	-93.57566	25.72905	-35.844734	-125.1728	327.83334	301.7	179999	28.34223	29.425968	63.66579	-117.53026	-29.280844	5.4016027	2755.9413743019104
46	-74.69007	38.81419	22.393627	-110.8886	-6.2605734	42.70893	27.038887	-110.015945	429.44446	914.4	183999	32.089138	30.465694	62.64074	-123.00639	-32.96341	5.675235	2831.765237092972
47	-39.540043	82.21464	115.87116	-141.81247	-75.629135	51.52511	71.24371	-111.11415	647.8333	321.7	187999	33.22862	30.846302	72.04738	-124.52006	-33.966236	4.9310412	2901.8529999256134
48	-58.22811	60.20159	108.81402	-101.05371	-83.347	14.091014	-63.7376	-99.431725	416.0	230.0	191999	32.53037	30.587402	72.02449	-119.65712	-33.18914	5.2878118	2972.1287763118744
49	-46.974327	80.31538	145.80763	-110.3454	-42.262722	30.158684	3.3409107	-92.42694	504.0	811.0	195999	31.70883	30.589167	75.30772	-115.49409	-32.387882	5.632226	3048.744688987732
50	-110.130264	37.53459	-46.97582	-158.61313	-65.810814	61.764317	86.31863	-137.01549	441.55554	517.2	199999	32.075462	30.907206	70.14315	-128.4032	-32.814915	5.237249	3122.596798181534
51	-127.150696	64.999756	-19.43088	-191.40741	-143.59018	9.4149065	-126.245964	-160.25873	782.0	211.4	203999	32.426533	30.747637	62.67379	-125.77946	-33.101936	5.099505	3192.7843084335327
52	-71.53112	92.66146	180.81844	-166.41267	85.57224	58.021225	136.3697	-35.981403	356.08334	942.5	207999	31.95714	30.45858	62.70008	-134.803	-32.611877	4.8532367	3269.8325576782227
53	-44.23167	59.625134	71.20017	-111.87526	123.95522	97.19323	197.37689	-64.47901	452.75	841.5	211999	31.824232	30.61785	61.463425	-118.875336	-32.525677	4.781632	3345.476465702057
54	28.453644	96.11925	188.98537	-111.0023	156.68956	10.281833	175.3041	142.94618	714.4	1000.0	215999	32.542946	30.422209	61.072437	-130.57564	-33.244453	5.2642713	3423.5599761009216
55	97.32	108.55552	211.57156	-74.19731	197.30585	90.741425	248.10133	-25.487234	756.5	910.3	219999	32.62059	30.231049	61.469913	-152.23941	-33.297947	5.0065145	3500.4280536174774
56	149.53654	119.912025	249.00351	-50.936016	-30.149466	28.670048	35.61505	-61.878117	825.0	380.2	223999	32.71768	29.718943	63.004623	-155.95035	-33.354607	4.701429	3572.4977176189423
57	58.662037	110.46302	246.28061	-51.352684	-76.635506	12.029417	-60.72544	-96.87884	634.5	324.7	227999	32.337116	29.914726	60.25491	-136.33342	-32.974655	4.548588	3644.2719583511353
58	-69.262146	25.156738	-36.660492	-103.15494	113.2256	158.17105	264.96786	-99.589294	435.25	812.9	231999	32.07768	30.083939	68.02652	-125.205246	-32.72259	4.6776896	3720.0788609981537
59	97.59281	98.06752	240.553	-62.184948	103.62433	10.105265	114.375755	83.165	791.0	1000.0	235999	31.99621	29.909348	58.961662	-128.9383	-32.619278	4.5034475	3798.1697821617126
60	68.70238	77.248314	136.15497	-81.67896	163.44788	88.157326	262.5472	40.39604	889.2	871.1	239999	31.31544	29.363043	57.74337	-127.83928	-31.884945	4.7489715	3874.75795006752
61	-12.972151	50.667393	78.66907	-74.62207	-10.947329	38.456116	68.76576	-89.81311	436.8	422.6	243999	30.484865	29.345789	58.9932	-150.75162	-31.08025	4.0732408	3947.1209568977356
62	-66.30968	51.684727	92.69588	-114.9558	53.890514	147.30826	266.78778	-86.24788	231.58824	515.1	247999	30.028572	29.387724	58.83694	-140.45345	-30.624243	4.214536	4020.75914978981
63	-53.844112	60.32921	117.52496	-108.92559	-80.50288	18.829365	-44.45969	-111.07029	297.41666	297.0	251999	29.756466	29.756134	56.89748	-129.17464	-30.372631	4.4465117	4093.080293893814
64	-6.5518966	55.532917	97.98014	-63.691902	-90.62752	23.423452	-70.89652	-140.57973	754.0	754.6	255999	30.02082	29.267426	57.388527	-135.33885	-30.618977	4.2942967	4168.637092590332
65	-6.9716873	93.8727	162.77393	-102.12505	-65.29059	30.20168	9.773738	-99.961235	588.75	245.5	259999	29.893303	29.236847	62.0205	-137.6389	-30.490221	4.2404256	4240.133123159409
66	-44.597435	40.007195	28.569628	-87.69186	-71.344444	17.685251	-38.19212	-95.91996	380.2	306.5	263999	29.687283	29.418558	73.201965	-129.80151	-30.293457	4.2690396	4312.52040886879
67	47.4605	117.35711	261.3952	-85.38968	66.071014	106.65371	155.67563	-114.39197	717.0	735.7	267999	30.10624	29.256598	73.76917	-125.299706	-30.71821	4.057448	4388.927531242371
68	-39.76076	53.562805	45.812794	-95.84011	6.2723107	64.98924	88.634315	-98.8657	751.0	877.5	271999	30.08151	28.873394	70.089355	-131.42548	-30.642746	4.1475406	4466.355127096176
69	-59.4539	66.649666	101.50072	-102.34202	-51.737823	51.3703	65.8434	-96.60384	483.85715	357.5	275999	29.215895	28.427397	93.656555	-131.05458	-29.742325	3.770547	4539.843337059021
70	-92.479645	35.200176	26.153563	-115.72986	-107.95469	0.48539683	-107.09389	-108.72197	156.54839	73.5	279999	29.11137	28.529497	138.90929	-131.60757	-29.808832	4.8789268	4610.207905769348
71	-108.877205	21.281801	-55.737026	-176.81786	-100.73136	35.562225	-61.26077	-161.05573	198.94444	695.6	283999	43.1243	39.55272	156.60883	-124.84942	-45.398006	14.028443	4686.470586538315
72	-131.31898	22.042456	-88.35067	-173.48706	-126.598	34.125603	-59.386448	-172.2622	326.16666	561.7	287999	68.34406	47.24545	147.54143	-127.94444	-70.39954	18.735304	4760.798592805862
73	-119.48992	46.497383	-45.917538	-193.08714	-98.47133	30.19662	-79.54875	-187.74582	574.8571	994.7	291999	76.81818	47.654682	136.86697	-130.28807	-78.156845	14.979449	4838.909135103226
74	-135.0274	40.94494	-91.75921	-206.18858	-147.15154	39.19821	-107.95973	-221.97043	740.8	805.6	295999	76.77992	45.9646	134.16156	-127.00699	-77.88392	14.592307	4915.796580791473
75	-97.36436	33.77171	-63.88511	-161.50523	-64.68059	7.3580236	-54.09716	-77.55648	917.8	1000.0	299999	75.59448	44.389942	124.31236	-145.48116	-76.672134	11.895642	4993.946884632111
76	-38.38622	40.345966	2.4759715	-91.192535	1.3153074	33.751682	68.99306	-66.58514	1000.0	959.8	303999	73.06844	42.841545	120.83518	-140.61887	-74.012375	11.335967	5072.598134994507
77	-11.272387	34.711388	23.99851	-66.30473	-30.608923	11.79326	-13.749347	-44.371002	1000.0	1000.0	307999	69.25503	41.745205	113.70962	-126.62729	-70.10857	10.194127	5152.697071313858
78	33.623096	73.96189	123.03999	-76.814865	147.60454	7.4264607	157.59143	133.73253	843.75	1000.0	311999	64.9089	40.26197	120.15882	-127.436134	-65.69513	8.628531	5232.239327430725
79	-1.4378836	88.009094	181.15913	-100.456345	15.247378	61.874935	100.53039	-84.849525	594.7143	889.5	315999	60.81529	38.404716	135.36235	-131.30379	-61.572468	8.926758	5311.31120967865
80	47.427624	84.91001	183.9805	-71.38047	115.09651	121.54443	250.2853	-107.94699	685.3333	772.0	319999	57.2955	37.401653	133.16315	-131.1584	-58.041336	7.895739	5388.358039855957
81	99.11851	147.85358	273.1587	-104.823044	140.67831	130.70282	270.4974	-44.740936	601.1429	709.3	323999	54.927174	36.741547	136.21117	-127.393936	-55.718197	7.640034	5465.183369874954
